Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Price,Discount,City,Product_Name,Category,Brand,Customer_Name,Gender,Age,Revenue
1000,07-01-2024,C0029,P505,3,44364,10,Delhi,Shoes,Fashion,Nike,Customer_29,Female,42,119782.8
1001,26-01-2024,C0738,P502,1,58159,0,Delhi,Laptop,Electronics,HP,Customer_738,Female,25,58159
1002,08-02-2024,C0887,P505,1,10696,10,Bangalore,Shoes,Fashion,Nike,Customer_887,Male,45,9626.4
1003,23-06-2024,C0974,P502,4,3393,10,Delhi,Laptop,Electronics,HP,Customer_974,Male,43,12214.8
1004,02-12-2024,C0748,P503,4,32647,0,Hyderabad,T-Shirt,Fashion,Puma,Customer_748,Female,38,130588
1005,24-03-2024,C0570,P505,4,50385,5,Hyderabad,Shoes,Fashion,Nike,Customer_570,Female,42,191463
1006,15-11-2024,C1009,P503,1,17475,15,Mumbai,T-Shirt,Fashion,Puma,Customer_1009,Male,35,14853.75
1007,26-07-2024,C1084,P504,2,50436,0,Hyderabad,Mobile,Electronics,Samsung,Customer_1084,Female,48,100872
1008,08-01-2024,C0591,P505,3,47065,5,Bangalore,Shoes,Fashion,Nike,Customer_591,Female,33,134135.25
1009,14-12-2024,C0960,P503,4,41952,15,Mumbai,T-Shirt,Fashion,Puma,Customer_960,Male,18,142636.8
1010,15-02-2024,C0527,P503,1,48137,0,Chennai,T-Shirt,Fashion,Puma,Customer_527,Male,48,48137
1011,05-12-2024,C0521,P504,2,9508,15,Kolkata,Mobile,Electronics,Samsung,Customer_521,Male,43,16163.6
1012,26-04-2024,C0386,P506,4,17267,10,Hyderabad,Watch,Accessories,Fastrack,Customer_386,Male,46,62161.2
1013,12-03-2024,C0274,P501,2,30315,5,Chennai,Headphones,Electronics,Boat,Customer_274,Male,45,57598.5
1014,01-02-2024,C0011,P506,1,41988,0,Bangalore,Watch,Accessories,Fastrack,Customer_11,Female,38,41988
1015,23-09-2024,C0214,P506,3,46467,0,Pune,Watch,Accessories,Fastrack,Customer_214,Male,21,139401
1016,15-02-2024,C0592,P504,2,30081,15,Bangalore,Mobile,Electronics,Samsung,Customer_592,Female,21,51137.7
1017,20-07-2024,C0936,P501,4,57484,5,Pune,Headphones,Electronics,Boat,Customer_936,Male,22,218439.2
1018,20-08-2024,C0589,P501,4,57285,5,Chennai,Headphones,Electronics,Boat,Customer_589,Male,33,217683
1019,22-06-2024,C0122,P502,2,3341,5,Kolkata,Laptop,Electronics,HP,Customer_122,Female,42,6347.9
1020,31-10-2024,C0317,P504,3,50086,0,Chennai,Mobile,Electronics,Samsung,Customer_317,Male,18,150258
1021,24-12-2024,C0223,P501,4,33620,5,Bangalore,Headphones,Electronics,Boat,Customer_223,Female,44,127756
1022,13-12-2024,C1108,P502,2,25126,10,Bangalore,Laptop,Electronics,HP,Customer_1108,Female,35,45226.8
1023,09-11-2024,C0022,P504,2,33962,10,Kolkata,Mobile,Electronics,Samsung,Customer_22,Female,49,61131.6
1024,06-07-2024,C0874,P501,2,46326,5,Chennai,Headphones,Electronics,Boat,Customer_874,Female,18,88019.4
1025,27-03-2024,C0909,P504,1,13912,10,Mumbai,Mobile,Electronics,Samsung,Customer_909,Female,48,12520.8
1026,24-02-2024,C0750,P503,4,5080,0,Kolkata,T-Shirt,Fashion,Puma,Customer_750,Male,24,20320
1027,01-07-2024,C0288,P505,3,24663,5,Chennai,Shoes,Fashion,Nike,Customer_288,Male,47,70289.55
1028,29-07-2024,C0662,P502,1,48779,0,Delhi,Laptop,Electronics,HP,Customer_662,Male,23,48779
1029,20-07-2024,C0755,P503,3,45800,0,Chennai,T-Shirt,Fashion,Puma,Customer_755,Female,37,137400
1030,27-11-2024,C0862,P501,1,49610,5,Hyderabad,Headphones,Electronics,Boat,Customer_862,Male,35,47129.5
1031,19-10-2024,C0516,P504,4,26263,15,Bangalore,Mobile,Electronics,Samsung,Customer_516,Male,41,89294.2
1032,25-06-2024,C0947,P502,4,6863,5,Hyderabad,Laptop,Electronics,HP,Customer_947,Male,44,26079.4
1033,15-08-2024,C0578,P502,3,26317,15,Chennai,Laptop,Electronics,HP,Customer_578,Female,34,67108.35
1034,30-08-2024,C0186,P502,2,21416,15,Delhi,Laptop,Electronics,HP,Customer_186,Female,33,36407.2
1035,18-01-2024,C0021,P505,3,57356,10,Mumbai,Shoes,Fashion,Nike,Customer_21,Male,48,154861.2
1036,27-08-2024,C0478,P504,3,11861,15,Chennai,Mobile,Electronics,Samsung,Customer_478,Male,36,30245.55
1037,02-01-2024,C0375,P506,1,45265,0,Pune,Watch,Accessories,Fastrack,Customer_375,Male,43,45265
1038,11-11-2024,C0381,P506,3,33081,0,Bangalore,Watch,Accessories,Fastrack,Customer_381,Female,43,99243
1039,18-08-2024,C0838,P502,1,26916,15,Mumbai,Laptop,Electronics,HP,Customer_838,Male,46,22878.6
1040,16-08-2024,C0261,P503,3,14060,15,Bangalore,T-Shirt,Fashion,Puma,Customer_261,Female,32,35853
1041,29-10-2024,C0287,P505,3,52533,10,Chennai,Shoes,Fashion,Nike,Customer_287,Male,43,141839.1
1042,20-03-2024,C0844,P506,2,20116,0,Hyderabad,Watch,Accessories,Fastrack,Customer_844,Female,26,40232
1043,20-09-2024,C0972,P504,1,43620,15,Bangalore,Mobile,Electronics,Samsung,Customer_972,Female,39,37077
1044,16-04-2024,C0687,P501,1,15863,0,Pune,Headphones,Electronics,Boat,Customer_687,Female,43,15863
1045,29-04-2024,C0156,P501,3,2042,15,Delhi,Headphones,Electronics,Boat,Customer_156,Female,40,5207.1
